6.502333 44.565667 871
3.764 45.0745 833
3.0195 44.1185 712
1.106833 43.005333 414
1.175 45.861167 402
0.0 43.188 360
5.959833 48.581 336
3.149333 45.786833 331
7.51 47.614333 263
1.396667 44.745 260
5.077833 45.7265 235
5.088333 47.267833 219
2.359833 47.059167 161
1.181667 49.383 151
1.378833 43.621 151
7.640333 48.5495 150
51.856667 -46.4325 146
0.110167 48.4455 143
0.314333 46.593833 123
5.940833 43.079333 115
4.02 48.324667 112
0.727333 47.4445 108
-54.028333 3.640167 106
4.155333 49.209667 95
-4.412 48.444167 94
2.384333 48.716833 89
4.733 44.581167 73
1.834 50.136 69
-0.456167 49.18 67
-0.500167 43.909833 59
-3.473167 48.825833 55
-0.691333 44.830667 47
3.0975 50.57 47
-62.852167 17.9015 44
140.001 -66.663167 43
2.872833 42.737167 42
-1.734 48.068833 36
-3.218333 47.294333 34
70.243333 -49.352333 29
-61.004 16.335 27
77.569167 -37.795167 27
-1.608833 47.15 26
-60.875333 14.7745 26
-56.179167 46.766333 21
-1.4115 46.046833 11
-61.516333 16.264 11
9.485167 42.540667 10
42.712 -17.054667 9
5.216 43.437667 9
55.528667 -20.8925 8
45.282833 -12.8055 7
54.520667 -15.887667 7
-1.939833 49.725167 6
40.340667 -22.344167 6
-51.804667 3.890667 6
-54.031667 5.4855 5
8.792667 41.918 5
-52.365333 4.822333 4
47.289667 -11.582667 3
-60.995667 14.595333 3
3.963167 43.577 2
7.209 43.648833 2
